June 12,Reliever,June 5,Reliever,May 29,Reliever,May 22,Reliever,May 15,Reliever,May 8,Reliever,May 1,Reliever,April 24,Reliever,April 17,Reliever,April 10,Reliever,April 3,Reliever
1,Josh Hader,1,Josh Hader,1,Andrés Muñoz,1,Andrés Muñoz,1,Mason Miller,1,Mason Miller,1,Mason Miller,1,Mason Miller,1,Mason Miller,1,Mason Miller,1,Ryan Helsley
2,Robert Suarez,2,Robert Suarez,2,Josh Hader,2,Josh Hader,2,Andrés Muñoz,2,Andrés Muñoz,2,Andrés Muñoz,2,Robert Suarez,2,Robert Suarez,2,Josh Hader,2,Mason Miller
3,Emmanuel Clase,3,Edwin Díaz,3,Robert Suarez,3,Robert Suarez,3,Robert Suarez,3,Robert Suarez,3,Jeff Hoffman,3,Jeff Hoffman,3,José Alvarado,3,Robert Suarez,3,Emmanuel Clase
4,Edwin Díaz,4,Emmanuel Clase,4,Edwin Díaz,4,Jason Adam,4,Jason Adam,4,Jason Adam,4,Jason Adam,4,Jason Adam,4,Ryan Walker,4,Ryan Helsley,4,Josh Hader
5,Andrés Muñoz,5,Andrés Muñoz,5,Emmanuel Clase,5,Jhoan Durán,5,Josh Hader,5,Josh Hader,5,Josh Hader,5,Josh Hader,5,Jeff Hoffman,5,Emmanuel Clase,5,Bryan Abreu
6,Cade Smith,6,Cade Smith,6,Cade Smith,6,Lucas Erceg,6,Tanner Scott,6,Tanner Scott,6,Tanner Scott,6,Tanner Scott,6,Jason Adam,6,Devin Williams,6,Edwin Díaz
7,Randy Rodríguez,7,Jason Adam,7,Jason Adam,7,Emmanuel Clase,7,Jhoan Durán,7,Jeff Hoffman,7,Luke Weaver,7,Andrés Muñoz,7,Tanner Scott,7,José Alvarado,7,Raisel Iglesias
8,Bryan Abreu,8,Bryan Abreu,8,Luke Weaver,8,Edwin Díaz,8,Lucas Erceg,8,Luke Weaver,8,Robert Suarez,8,Luke Weaver,8,Justin Martinez,8,Raisel Iglesias,8,Andrés Muñoz
9,Jhoan Durán,9,Jhoan Durán,9,Bryan Abreu,9,Mason Miller,9,Emmanuel Clase,9,Robert Garcia,9,Tyler Rogers,9,Tyler Rogers,9,A.J. Puk,9,Ryan Walker,9,Devin Williams
10,Carlos Estévez,10,Carlos Estévez,10,Mason Miller,10,Tanner Scott,10,Bryan Abreu,10,Lucas Erceg,10,José Alvarado,10,José Alvarado,10,Andrés Muñoz,10,Jeff Hoffman,10,Jeff Hoffman
11,Will Vest,11,Tanner Scott,11,Tanner Scott,11,Bryan Abreu,11,Jeremiah Estrada,11,Bryan Abreu,11,Cade Smith,11,Raisel Iglesias,11,Josh Hader,11,Edwin Díaz,11,Cade Smith
12,Griffin Jax,12,Griffin Jax,12,Camilo Doval,12,Jeremiah Estrada,12,Camilo Doval,12,Raisel Iglesias,12,Aroldis Chapman,12,Jeremiah Estrada,12,Raisel Iglesias,12,Jason Adam,12,Griffin Jax
13,Abner Uribe,13,Abner Uribe,13,Jordan Romano,13,Camilo Doval,13,Cade Smith,13,Jhoan Durán,13,Lucas Erceg,13,Aroldis Chapman,13,Ryan Helsley,13,Tanner Scott,13,Ryan Walker
14,Jason Adam,14,Will Vest,14,Griffin Jax,14,Cade Smith,14,Luke Weaver,14,Jeremiah Estrada,14,Bryan Abreu,14,Bryan Abreu,14,Emmanuel Clase,14,Justin Martinez,14,Jason Adam
15,Tanner Scott,15,Bryan King,15,Jhoan Durán,15,Luke Weaver,15,Edwin Díaz,15,Emilio Pagán,15,Robert Garcia,15,Kenley Jansen,15,Jeremiah Estrada,15,A.J. Puk,15,José Alvarado
16,Emilio Pagán,16,Mason Miller,16,Will Vest,16,Emilio Pagán,16,Robert Garcia,16,Edwin Díaz,16,Raisel Iglesias,16,Cade Smith,16,Luke Weaver,16,Andrés Muñoz,16,A.J. Puk
17,Devin Williams,17,Trevor Megill,17,Bryan King,17,Jeff Hoffman,17,Jeff Hoffman,17,Emmanuel Clase,17,Justin Slaten,17,Lucas Erceg,17,Aroldis Chapman,17,Bryan Abreu,17,Jhoan Durán
18,Aroldis Chapman,18,Ryan Helsley,18,Abner Uribe,18,Kyle Leahy,18,Emilio Pagán,18,Ryan Helsley,18,Jhoan Durán,18,Yennier Cano,18,Lucas Erceg,18,Jeremiah Estrada,18,Tanner Scott
19,Bryan King,19,Daniel Palencia,19,Tyler Rogers,19,Aroldis Chapman,19,Pete Fairbanks,19,Pete Fairbanks,19,Jeremiah Estrada,19,Yimi García,19,Devin Williams,19,Luke Weaver,19,Robert Suarez
20,Mason Miller,20,Emilio Pagán,20,Trevor Megill,20,Tyler Rogers,20,Kyle Leahy,20,Ryan Walker,20,Emilio Pagán,20,Kyle Finnegan,20,Yennier Cano,20,Aroldis Chapman,20,Jeremiah Estrada
21,Trevor Megill,21,Camilo Doval,21,Carlos Estévez,21,Ryan Walker,21,Tyler Rogers,21,Camilo Doval,21,Kirby Yates,21,Edwin Díaz,21,Yimi García,21,Lucas Erceg,21,Luke Weaver
22,Tyler Rogers,22,Devin Williams,22,Ryan Helsley,22,Devin Williams,22,José Alvarado,22,Cade Smith,22,Edwin Díaz,22,Ryan Helsley,22,Carlos Estévez,22,Griffin Jax,22,Aroldis Chapman
23,David Bednar,23,Jeremiah Estrada,23,Jeremiah Estrada,23,Ryan Helsley,23,Aroldis Chapman,23,Tyler Rogers,23,Ryan Helsley,23,Robert Garcia,23,Tony Santillan,23,Yennier Cano,23,Lucas Erceg
24,Tommy Kahnle,24,Aroldis Chapman,24,Aroldis Chapman,24,Tony Santillan,24,Kirby Yates,24,José Alvarado,24,Emmanuel Clase,24,Justin Slaten,24,Tyler Rogers,24,Ben Joyce,24,Félix Bautista
25,Lucas Erceg,25,Pete Fairbanks,25,Jeff Hoffman,25,Jordan Romano,25,Ryan Walker,25,Aroldis Chapman,25,Ryan Walker,25,Jhoan Durán,25,Porter Hodge,25,Yimi García,25,Camilo Doval
26,Robert Garcia,26,Jeff Hoffman,26,Daniel Palencia,26,Griffin Jax,26,Ryan Helsley,26,Kyle Leahy,26,Ryan Pressly,26,Kirby Yates,26,Griffin Jax,26,Chris Martin,26,Blake Treinen
27,Louis Varland,27,Reed Garrett,27,Emilio Pagán,27,Kenley Jansen,27,Trevor Megill,27,Edwin Uceta,27,Edwin Uceta,27,Justin Martinez,27,Chris Martin,27,Robert Garcia,27,Justin Martinez
28,Ryan Helsley,28,Kenley Jansen,28,Lucas Erceg,28,Will Vest,28,Edwin Uceta,28,Fernando Cruz,28,Pete Fairbanks,28,Emmanuel Clase,28,Robert Garcia,28,Luke Jackson,28,Yennier Cano
29,Daniel Palencia,29,Jordan Romano,29,Kenley Jansen,29,Bryan King,29,Fernando Cruz,29,Griffin Jax,29,Camilo Doval,29,Ryan Walker,29,Orion Kerkering,29,Trevor Megill,29,Ben Joyce
30,Reid Detmers,30,Tyler Rogers,30,Pete Fairbanks,30,Abner Uribe,30,Griffin Jax,30,Kirby Yates,30,Carlos Estévez,30,Ryan Pressly,30,Bryan Abreu,30,Hunter Harvey,30,Yimi García
31,Yariel Rodríguez,31,Tommy Kahnle,31,Robert Garcia,31,Pete Fairbanks,31,Chris Martin,31,Evan Phillips,31,Yimi García,31,Edwin Uceta,31,Kenley Jansen,31,Tyler Rogers,31,Kenley Jansen
32,Félix Bautista,32,Robert Garcia,32,Ryan Walker,32,Trevor Megill,32,Tony Santillan,32,Kenley Jansen,32,Yennier Cano,32,Tommy Kahnle,32,Pete Fairbanks,32,Orion Kerkering,32,Pete Fairbanks
33,Kenley Jansen,33,Justin Martinez,33,Devin Williams,33,Carlos Estévez,33,Bryan King,33,Porter Hodge,33,Phil Maton,33,Carlos Estévez,33,Mason Montgomery,33,Jhoan Durán,33,Mason Montgomery
34,Jordan Romano,34,Ryan Walker,34,Tommy Kahnle,34,Justin Martinez*,34,Raisel Iglesias,34,Hunter Gaddis,34,Kenley Jansen,34,Tony Santillan,34,Edwin Díaz,34,Cade Smith,34,Chris Martin
35,Camilo Doval,35,David Bednar,35,Shelby Miller,35,Raisel Iglesias,35,Kenley Jansen,35,Carlos Estévez,35,Fernando Cruz,35,Devin Williams,35,Cade Smith,35,Tony Santillan,35,Robert Garcia
36,Jeremiah Estrada,36,Edwin Uceta,36,Brendon Little,36,Andrew Kittredge,36,Will Vest,36,Tommy Kahnle,36,Griffin Jax,36,Orion Kerkering,36,Phil Maton,36,Kenley Jansen,36,Trevor Megill
