Eno,Name,25-Apr,Last Rnk,MLBAM id,Team,Proj IP,Injury,Stuff+,Location+,Pitching+,ppERA,ppK%,ppBB%,Arsenal,K-BB,ERA,Proj OOPSY $,Blurb,,
1,Tarik Skubal,2,2,669373,DET,200,80%,119,110,127,2.47,30.9%,5.1%,59.5,32.3%,2.26,42.25,"Somehow Tarik Skubal got better. He won the Cy Young, and then he added velocity, made his breaking balls better, and improved his already league-leading command. His strikeout rate is godly, his walk rate is miniscule, and he's breaking Tigers velocity records with last pitches on complete game shutouts: there's literally nothing to not like. Well, just that old injury ledger. Old history, by now?",,
2,Paul Skenes,1,1,694973,PIT,195,81%,108,110,116,2.77,29.2%,6.8%,70.5,20.1%,2.15,30.82,"Paul Skenes did nothing to deserve a demotion, really. It's just that his teammates won't be handing him many wins, so that category won't be a standout. And maybe it's also that his arsenal is more geared toward suppressing power than it is to the elite swing and miss we saw last year. That old discussion, of his fastball shape and how it's not ideal, has resurfaced in the light of a strikeout rate that is more above-average than league-leading. He's still a great pitcher, though.",,
3,Zack Wheeler,3,3,554430,PHI,203,77%,110,107,118,3.10,27.9%,6.4%,73,25.9%,2.96,32.56,"Occasionally, one of Zack Wheeler's three fastballs falls below average by Stuff+, who knows why. One of the many little dials goes in the wrong direction, I guess. He's still got really good velocity, and whenever that happens with one of his three fastballs, he's still got the other two to play with. He continues to innovate -- this year he added ride to the fastball, drop to the curveball and sinker, and sweep to the sweeper -- just to stay on top of the heap. Once you figure in consistency over multiple seasons, he becomes the top pitcher in baseball.",,
4,Garrett Crochet,5,5,676979,BOS,187,69%,113,95,106,3.14,30.4%,7.5%,51.5,22.9%,1.98,24.08,"Most of the changes in Garrett Crochet's arsenal came over the course of last year, when he added the sinker and de-emphasized the the slider in favor of the cutter. But they were good changes because it's helped him be less of a two-pitch guy. Now, more than a qurater of the time, batters will get something other than those two dominant pitches, and that is helping the lefty get deeper into games. This is proceeding just as planned.",,
5,Chris Sale,11,6,519242,ATL,182,66%,107,102,101,3.24,29.3%,6.7%,61,23.4%,3.06,27.59,"A couple of games early on had some worried that Chris Sale wasn't going to have a dominant year, but then he leaned into the slider, upped its usage, and went off. Since he started throwing the slider more than half the time, he has a 1.62 ERA with 42 strikeouts and seven walks in 33.1 innings -- and that includes a start in Coors! His pitch-type grades say that pitching backwards is the right plan, but here could be some worry that the league adjusts to this new reality, or that the injury bug bites him again.",,
6,Max Fried,7,14,608331,NYY,191,79%,108,104,112,3.36,23.4%,7.0%,74.25,18.1%,1.92,21.05,"The Yankees had ideas for Max Fried. They improved his sinker, giving it more drop, and even got more drop on that curveball he's thrown forever. He's throwing harder than ever, and he's probably the best version of himself, which is saying something for a pitcher that had a four-year ERA under three going into this season. The only thing that keeps him out of the top four is a somewhat pedestrian strikeout rate. He's succeeded with that k-rate before, but it's still a scoring category in most leagues.",,
7,Yoshinobu Yamamoto,9,18,808967,LAD,163,74%,95,105,103,3.15,27.3%,7.4%,61.5,20.2%,2.39,23.50,"He may not have standout Stuff+, but at this point, Yoshinobu Yamamoto has shown us that he can get major league results, and his elite strikeout and walk rates mean a little more now than the model. And even the model has some surprises under the hood -- his splitter is equally good against both lefties and righties, and in his sinker and four-seam he always has at least a league-average fastball against each hand as well. The splitter is the north star, and he's found a way to build around that to great success.",,
8,Logan Webb,12,17,657277,SFG,201,98%,106,108,111,3.30,22.9%,5.3%,28.25,22.3%,2.82,23.32,"The strikeouts. The strikeouts are new for Logan Webb. They've come because Webb has added a cutter, and not because the cutter is all that good. The cutter is boring. But it's a completely different movement profile, one that helps make his four-seam, sinker, change, and slider all better by living in the middle of the movement plot. He's always had the command, and the ground balls, and the dominance against righties, and now he's striking out nearly a third of the lefties he's facing. He'll compete for the NL Cy Young.",,
9,Hunter Brown,8,16,686613,HOU,188,93%,111,101,111,3.29,27.3%,8.0%,72.75,23.4%,1.83,21.92,"Right now Hunter Brown is just straight dominating with heat. That sinker he added last year is nasty -- best among starters in Stuff+ -- and it's setting up his four-seam as an action pitch, to the point that batters are 'hitting' .090 on it. If there is a nit to pick, it's that the secondaries aren't quite as good as the fastballs, but the knuckle curve scores well by Stuff+ and should be able to handle more usage if the fastball-heavy approach hits a snag.",,
10,Hunter Greene,10,30,668881,CIN,167,79%,126,99,121,3.28,30.4%,8.4%,66.5,25.7%,2.63,26.44,"It wasn't the greatest first start back from injury, in terms of strikeouts (three) or command (second-worst location numbers of the year), but it was good to see the groin injury was behind Hunter Greene, and that the stuff was mostly there. The extreme velocity and the new splitter, as well as his decision to just fill up the zone with nastiness (highest zone rate of his career) is what makes him elite, and all that was still there in his return.",,
11,Cole Ragans,6,8,666142,KCR,152,91%,108,103,108,3.47,28.0%,8.6%,82,30.9%,4.53,18.59,"It's not *just* the groin injury that pushed Cole Ragans down in the projections (31 going forward by OOPSY projections) -- it's that he's lost some stuff. It's not super obvious why, at first, because his fastball velocity is the same as it ever was, but it's still velocity related. He's lost gas on all of his secondaries, to varying degrees. He'll be back, and he'll be good, but will he be more a top ten guy like he was last year, or a little bit lesser?",,
12,Logan Gilbert,4,4,669302,SEA,134,95%,99,116,115,3.13,26.2%,5.5%,91.75,32.5%,2.37,26.54,"By projections, Logan Gilbert should be a top five pitcher. He was pitching that way before injury, too, using an improved splitter to increase his strikeout rate to elite territory. But flexor strains are a tricky injury. They have been shown to be a precusor to more devastating elbow injuries in peer-reviewed studies in the past, so it's no minor thing. That said, he looks healthy and on track for a start this week.",,
13,Dylan Cease,14,9,656302,SDP,184,92%,108,103,111,3.44,28.2%,8.8%,80.75,21.2%,4.66,23.65,"Strikeout minus walk rate is just about tied with Stuff+ as the most predictive statistic for a pitcher in season, and by strikeouts minus walks, Dylan Cease is a top 15 pitcher. It's true that his arsenal is small (basically two pitches), and that he can be prone to home runs (because of the small arsenal?), but it's also true that he's been a little unlucky this year on balls in play (.320 BABIP) and that he has the stuff to keep fueling those strikeouts. Better ERA days are probably ahead.",,
14,Jacob deGrom,13,12,594798,TEX,158,38%,106,113,121,3.22,28.1%,6.3%,45.5,18.1%,2.34,22.25,"Who knows why Jacob deGrom didn't strike out a batter against the Blue Jays. He did have a momentary step back in stuff, with his fastball down a tick off the start before, his slider dropping under 89 mph for the first time, and his overall Stuff+ dipping under 100 for the firs time this year. But he started the year close to a lot of those averages and had been adding stuff back in over the course of the first two months. Here's to betting it was a temporary blip. He did on'y give up two runs, after all.",,
15,George Kirby,31,32,669923,SEA,119,95%,102,102,100,3.35,23.6%,4.0%,70.25,11.9%,11.42,23.70,"The first two starts back weren't great for George Kirby. The stuff came back after he lost time to shoulder inflammation, but the characteristic command has not. He's been more middle-middle than he's been in the past, at least. The good news is that command fluctuates more start-to-start than stuff, so hopefully this is just him, shaking the rust off. Especially since he's the ""nine-pocket god"" and command genius, as Bryce Miller called him in spring.",,
16,Bryan Woo,20,29,693433,SEA,179,83%,104,111,112,3.29,24.4%,5.4%,55.75,19.6%,2.82,23.00,"They don't look anything alike in terms of stature or even pitch shapes, but there is something similar about Bryan Woo and Hunter Brown. They both have excellent fastballs and primarily throw two hard pitches and a breaking ball. Woo's stuff may not be quite as good, so he's had a bouple blowups, but other than those two games, there are a ton of great games on his ledger. It may not come with a ton of strikeouts, but Woo's got something sustainable going.",,
17,Freddy Peralta,15,24,642547,MIL,176,86%,101,100,102,3.57,26.7%,8.6%,75.75,14.7%,2.77,20.38,"He's healthy, and the results say he's dealing, so no need to look any further at Freddy Peralta's line, right? No need to worry about the career-worst strikeout rate, and the slight tick up in walks? The fact that his slider has all but disappeared? Probably not. He's dealing, and he's healthy.",,
18,Joe Ryan,22,22,657746,MIN,166,85%,105,105,106,3.58,26.9%,5.4%,58,26.0%,2.57,21.05,"The velocity is a little shaky for Joe Ryan -- he's ranged from 91.5 to 94.4 in his outings this year and sat 94 for the year last season -- but the results have been steady. His fastball is still his best pitch relative to the league, but he's found a good mix of sweepers, sliders, and splitters to complement that invisiball, and the strikeouts and walks are impeccable. The only risk comes from durability, and a fluctuating home run rate that's often tied to that number on the radar gun.",,
19,Framber Valdez,19,10,664285,HOU,203,91%,106,104,113,3.36,23.8%,7.6%,78.75,16.0%,3.12,20.98,"It's probably because of inconsistent command, but there's always one stretch every year where everyone doubts Framber Valdez. The last two postseasons have been bad, and his May last year was a lot like his April this year -- big ERAs, big walk rates, looks lost out there. But then he reals off a stretch that matches his stuff. He had an ERA under two in the second half last year, and this May he seems well on his way to another underrated season.",,
20,Cristopher Sánchez,27,36,650911,PHI,165,89%,113,94,109,3.46,23.4%,6.9%,47,18.9%,3.32,18.15,"He said he was going to add a pitch, and then he didn't. He came in sitting in the high nineties this spring, and he's fallen back to just a tick over last year. He doesn't really have the right fastball to pitch to righties. But have you seen Cristopher Sánchez pitch? He's got the goods. That might be the best changeup in the game, and this year's strikeout rate -- if it holds -- gives him upside to rank even higher than this when all is said and done.",,
21,Spencer Schwellenbach,17,28,680885,ATL,195,84%,109,110,118,3.58,23.5%,6.0%,89,19.7%,3.13,19.11,"A bit of a kitchen sinker, Spencer Schwellenbach gets it done by throwing six different pitch types with command more than anything. He cuts his fastball a little to keep it from having a 'normal' shape for his arm slot, and his splitter is becoming more and more of a weapon over time, but it's really how good he is at pitching, and keeping batters on their toes, than about blowing it by them with the biggest velocity. He may not have the top-end strikeout rates of the aces above him on that list, therefore, but he might also be a great bet to continue doing this for a long time.",,
22,Drew Rasmussen,23,63,656876,TBR,151,58%,112,101,108,3.39,23.9%,6.4%,14.25,15.8%,2.33,13.33,"Drew Rasmussen is nasty. He throws a 96 mph fastball that has about an inch more ride than you'd expect given his arm slot, so it's not poor shape. Then there's the 90 mph gyro slider that's labeled a cutter -- battters are slugging under .300 on the pitch even though he throws it all the time. He throws a sweeper with top-ten velocity among starters, and has developed a pretty good sinker over time. He's struck out more batters than he's striking out right now, and his stuff is in line with pre-injury numbers, so the bet here is that the Ks will come.",,
23,Pablo López,29,21,641154,MIN,173,88%,95,114,108,3.69,24.9%,5.9%,84.25,20.4%,2.75,18.88,"The changeup is dropping around four inches more this year for Pablo López, but it's also a tick and a half slower. The curve's dropping a little more. He's lost about a half tick on the fastballs. There are differences this year, but the strikeouts minus walk and Stuff+ numbers are almost an exact match for last year. Most likely, he'll give up a few more homers going forward and be a mid-to-high threes ERA guy with a great WHIP and a nice win total.",,
