0,1,2,3,4,5
Saturday – 4/4,Saturday – 4/4,Saturday – 4/4,Saturday – 4/4,Saturday – 4/4,Saturday – 4/4
Date,Game,Away Pitcher,Sit / Start,Home Pitcher,Sit / Start
4/4,STL at DET,D. May,Maybe-4,J. Flaherty,Maybe-5
4/4,TOR at CHW,E. Lauer,Sit-2,A. Kay,Sit-1
4/4,HOU at ATH,T. Imai,Start-7,L. Morales,Sit-2
4/4,LAD at WSN,T. Glasnow,Start-8,J. Irvin,Sit-1
4/4,BAL at PIT,S. Baz,Maybe-5,C. Mlodzinski,Sit-3
4/4,SDP at BOS,R. Vasquez,Sit-1,C. Early,Maybe-6
4/4,MIL at KCR,B. Sproat,Maybe-4,S. Lugo,Sit-3
4/4,MIA at NYY,M. Meyer,Sit-1,R. Weathers,Maybe-6
4/4,CIN at TEX,R. Lowder,Sit-3,M. Gore,Maybe-6
4/4,TBR at MIN,S. Matz,Sit-2,B. Ober,Maybe-4
4/4,CHC at CLE,S. Imanaga,Start-7,S. Cecconi,Sit-2
4/4,ATL at ARI,B. Elder,Sit-2,M. Soroka,Sit-1
4/4,PHI at COL,J. Luzardo,Start-7,J. Quintana,Sit-1
4/4,NYM at SFG,C. Holmes,Sit-3,L. Roupp,Sit-2
4/4,SEA at LAA,E. Hancock,Sit-1,J. Kochanowicz,Sit-1
